cod_ibge,nome,mesorregiao,microrregiao,regiao_imediata,regiao_intermediaria
2615409,Toritama,Agreste Pernambucano,Alto Capibaribe,Caruaru,Caruaru
2615508,Tracunhaém,Mata Pernambucana,Mata Setentrional Pernambucana,Carpina,Recife
2615607,Trindade,Sertão Pernambucano,Araripina,Araripina,Petrolina
2615706,Triunfo,Sertão Pernambucano,Pajeú,Serra Talhada,Serra Talhada
2615805,Tupanatinga,Agreste Pernambucano,Vale do Ipanema,Arcoverde,Caruaru
2615904,Tuparetama,Sertão Pernambucano,Pajeú,Afogados da Ingazeira,Serra Talhada
2616001,Venturosa,Agreste Pernambucano,Vale do Ipanema,Arcoverde,Caruaru
2616100,Verdejante,Sertão Pernambucano,Salgueiro,Salgueiro,Petrolina
2616183,Vertente do Lério,Agreste Pernambucano,Alto Capibaribe,Surubim,Recife
2616209,Vertentes,Agreste Pernambucano,Alto Capibaribe,Surubim,Recife
2616308,Vicência,Mata Pernambucana,Mata Setentrional Pernambucana,Goiana - Timbaúba,Recife
2616407,Vitória de Santo Antão,Mata Pernambucana,Vitória de Santo Antão,Vitória de Santo Antão,Recife
2616506,Xexéu,Mata Pernambucana,Mata Meridional Pernambucana,Palmares,Recife
